t,date,layoff_share,joblosers_share,cpi_infl,log_claims,claims,credit_spr,vix,sentiment,log_oil,oil,layoff_share_lag1,joblosers_share_lag1,log_claims_lag1,credit_spr_lag1,vix_lag1,cpi_infl_lag1,sentiment_lag1,log_oil_lag1,layoff_share_lag2,joblosers_share_lag2,log_claims_lag2,credit_spr_lag2,vix_lag2,cpi_infl_lag2,sentiment_lag2,log_oil_lag2,layoff_share_lag3,joblosers_share_lag3,log_claims_lag3,credit_spr_lag3,vix_lag3,cpi_infl_lag3,sentiment_lag3,log_oil_lag3,layoff_share_lag4,joblosers_share_lag4,log_claims_lag4,credit_spr_lag4,vix_lag4,cpi_infl_lag4,sentiment_lag4,log_oil_lag4
354,2019-06-01,0.1328440366972477,0.45510321100917434,1.67119,12.324744175247673,225200.0,2.39,15.84,98.2,4.001132180499922,54.66,0.14681192660550457,0.4501146788990826,12.294541293517781,2.23,16.72,1.79591,100.0,4.108083088332614,0.12785550458715594,0.4600917431192661,12.253671624329453,2.1700000000000004,12.95,2.00058,97.2,4.156693187286636,0.1368348623853211,0.4531077981651376,12.263397712149443,2.27,14.49,1.88319,98.4,4.063025878964673,0.12785550458715594,0.45709862385321104,12.312682380588432,2.27,15.23,1.51886,93.8,4.006423680849631
355,2019-07-01,0.1448165137614679,0.47206422018348626,1.82633,12.247694320220994,208500.0,2.22,13.31,98.4,4.0493471962913645,57.36,0.1328440366972477,0.45510321100917434,12.324744175247673,2.39,15.84,1.67119,98.2,4.001132180499922,0.14681192660550457,0.4501146788990826,12.294541293517781,2.23,16.72,1.79591,100.0,4.108083088332614,0.12785550458715594,0.4600917431192661,12.253671624329453,2.1700000000000004,12.95,2.00058,97.2,4.156693187286636,0.1368348623853211,0.4531077981651376,12.263397712149443,2.27,14.49,1.88319,98.4,4.063025878964673
356,2019-08-01,0.13783256880733943,0.4740596330275229,1.73764,12.259613412458204,211000.0,2.24,18.98,89.8,4.003872659058025,54.81,0.1448165137614679,0.47206422018348626,12.247694320220994,2.22,13.31,1.82633,98.4,4.0493471962913645,0.1328440366972477,0.45510321100917434,12.324744175247673,2.39,15.84,1.67119,98.2,4.001132180499922,0.14681192660550457,0.4501146788990826,12.294541293517781,2.23,16.72,1.79591,100.0,4.108083088332614,0.12785550458715594,0.4600917431192661,12.253671624329453,2.1700000000000004,12.95,2.00058,97.2,4.156693187286636
357,2019-09-01,0.1348394495412844,0.45111238532110093,1.6845,12.25247901834433,209500.0,2.21,15.56,93.2,4.0421736898931915,56.95,0.13783256880733943,0.4740596330275229,12.259613412458204,2.24,18.98,1.73764,89.8,4.003872659058025,0.1448165137614679,0.47206422018348626,12.247694320220994,2.22,13.31,1.82633,98.4,4.0493471962913645,0.1328440366972477,0.45510321100917434,12.324744175247673,2.39,15.84,1.67119,98.2,4.001132180499922,0.14681192660550457,0.4501146788990826,12.294541293517781,2.23,16.72,1.79591,100.0,4.108083088332614
358,2019-10-01,0.14082568807339452,0.46607798165137615,1.73397,12.265520104173595,212250.0,2.21,15.47,95.5,3.988243031339555,53.96,0.1348394495412844,0.45111238532110093,12.25247901834433,2.21,15.56,1.6845,93.2,4.0421736898931915,0.13783256880733943,0.4740596330275229,12.259613412458204,2.24,18.98,1.73764,89.8,4.003872659058025,0.1448165137614679,0.47206422018348626,12.247694320220994,2.22,13.31,1.82633,98.4,4.0493471962913645,0.1328440366972477,0.45510321100917434,12.324744175247673,2.39,15.84,1.67119,98.2,4.001132180499922
359,2019-11-01,0.13783256880733943,0.4810435779816514,2.09229,12.321185452630678,224400.0,2.13,12.52,96.8,4.0439280763080845,57.05,0.14082568807339452,0.46607798165137615,12.265520104173595,2.21,15.47,1.73397,95.5,3.988243031339555,0.1348394495412844,0.45111238532110093,12.25247901834433,2.21,15.56,1.6845,93.2,4.0421736898931915,0.13783256880733943,0.4740596330275229,12.259613412458204,2.24,18.98,1.73764,89.8,4.003872659058025,0.1448165137614679,0.47206422018348626,12.247694320220994,2.22,13.31,1.82633,98.4,4.0493471962913645
360,2019-12-01,0.1388302752293578,0.4710665137614679,2.31953,12.371587084007746,236000.0,2.0199999999999996,13.76,99.3,4.091340053201802,59.82,0.13783256880733943,0.4810435779816514,12.321185452630678,2.13,12.52,2.09229,96.8,4.0439280763080845,0.14082568807339452,0.46607798165137615,12.265520104173595,2.21,15.47,1.73397,95.5,3.988243031339555,0.1348394495412844,0.45111238532110093,12.25247901834433,2.21,15.56,1.6845,93.2,4.0421736898931915,0.13783256880733943,0.4740596330275229,12.259613412458204,2.24,18.98,1.73764,89.8,4.003872659058025
361,2020-01-01,0.10889908256880734,0.4431307339449541,2.59977,12.28071618852594,215500.0,2.01,13.94,99.8,4.052132713412791,57.52,0.1388302752293578,0.4710665137614679,12.371587084007746,2.0199999999999996,13.76,2.31953,99.3,4.091340053201802,0.13783256880733943,0.4810435779816514,12.321185452630678,2.13,12.52,2.09229,96.8,4.0439280763080845,0.14082568807339452,0.46607798165137615,12.265520104173595,2.21,15.47,1.73397,95.5,3.988243031339555,0.1348394495412844,0.45111238532110093,12.25247901834433,2.21,15.56,1.6845,93.2,4.0421736898931915
362,2020-02-01,0.13384174311926605,0.4640825688073394,2.34132,12.255814737424988,210200.0,2.11,19.63,101.0,3.922765101960048,50.54,0.10889908256880734,0.4431307339449541,12.28071618852594,2.01,13.94,2.59977,99.8,4.052132713412791,0.1388302752293578,0.4710665137614679,12.371587084007746,2.0199999999999996,13.76,2.31953,99.3,4.091340053201802,0.13783256880733943,0.4810435779816514,12.321185452630678,2.13,12.52,2.09229,96.8,4.0439280763080845,0.14082568807339452,0.46607798165137615,12.265520104173595,2.21,15.47,1.73397,95.5,3.988243031339555
363,2020-03-01,0.2834977064220184,0.5788188073394495,1.49404,14.663629509735095,2.33525e6,3.42,57.74,89.1,3.3745111163996495,29.21,0.13384174311926605,0.4640825688073394,12.255814737424988,2.11,19.63,2.34132,101.0,3.922765101960048,0.10889908256880734,0.4431307339449541,12.28071618852594,2.01,13.94,2.59977,99.8,4.052132713412791,0.1388302752293578,0.4710665137614679,12.371587084007746,2.0199999999999996,13.76,2.31953,99.3,4.091340053201802,0.13783256880733943,0.4810435779816514,12.321185452630678,2.13,12.52,2.09229,96.8,4.0439280763080845
